,Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
count,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000
unique,,,,,,,,3
top,,,,,,,,High
freq,,,,,,,,1029
mean,1000.5,7.4758000000000004,1.9901,7.50125,2.7045500000000002,4.328300000000001,3.11596,
std,577.4945887192364,1.4238883695867885,1.1558546578160238,1.4609485353055411,1.6885140915665198,2.5141100780877457,0.29867353639160993,
min,1.0,5.0,0.0,5.0,0.0,0.0,2.24,
25%,500.75,6.3,1.0,6.2,1.2,2.4,2.9,
50%,1000.5,7.4,2.0,7.5,2.6,4.1,3.11,
75%,1500.25,8.7,3.0,8.8,4.1,6.1,3.33,
max,2000.0,10.0,4.0,10.0,6.0,13.0,4.0,
